Title,Authors,FirstAuthor,FirstAuthorAffiliation,LastAuthor,LastAuthorAffiliation,LastAuthorEmail,LastAuthorHindex,Abstract,Journal,PublicationDate,Grant
Combination Drug for HCV Infection.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Sep 5,
"Correcting the Medical Literature: ""To Err Is Human, to Correct Divine"".","['Christiansen, Stacy', 'Flanagin, Annette']","Christiansen, Stacy",Journal of American Medical Association,"Flanagin, Annette",Journal of American Medical Association,,20,,JAMA,2017 Sep 5,
The Potential and Challenges of Expanded Germline Testing in Clinical Oncology.,"['Van Allen, Eliezer M']","Van Allen, Eliezer M",Dana-Farber Cancer Institute,"Van Allen, Eliezer M",Dana-Farber Cancer Institute,,36,,JAMA,2017 Sep 5,
Using Outreach to Improve Colorectal Cancer Screening.,"['Pignone, Michael', 'Miller, David P Jr']","Pignone, Michael",University of Texas at Austin,"Miller, David P Jr",,,,,JAMA,2017 Sep 5,
Organoids Reveal Clues to Gut-Brain Communication.,"['Hampton, Tracy']","Hampton, Tracy",,"Hampton, Tracy",,,15,,JAMA,2017 Sep 5,
Measuring the Cost of Quality Measurement: A Missing Link in Quality Strategy.,"['Schuster, Mark A', 'Onorato, Sarah E', 'Meltzer, David O']","Schuster, Mark A",Children's Hospital Boston,"Meltzer, David O",University of Chicago,,51,,JAMA,2017 Oct 3,
Medical Students Fall Short on Blood Pressure Check Challenge.,"['Abbasi, Jennifer']","Abbasi, Jennifer",Journal of American Medical Association,"Abbasi, Jennifer",Journal of American Medical Association,,4,,JAMA,2017 Sep 19,
Association of Genetic Variants Related to CETP Inhibitors and Statins With Lipoprotein Levels and Cardiovascular Risk.,"['Ference, Brian A', 'Kastelein, John J P', 'Ginsberg, Henry N', 'Chapman, M John', 'Nicholls, Stephen J', 'Ray, Kausik K', 'Packard, Chris J', 'Laufs, Ulrich', 'Brook, Robert D', 'Oliver-Williams, Clare', 'Butterworth, Adam S', 'Danesh, John', 'Smith, George Davey', 'Catapano, Alberico L', 'Sabatine, Marc S']","Ference, Brian A",University of Cambridge,"Sabatine, Marc S",Brigham and Women's Hospital,,82,"Importance: Some cholesteryl ester transfer protein (CETP) inhibitors lower low-density lipoprotein cholesterol (LDL-C) levels without reducing cardiovascular events, suggesting that the clinical benefit of lowering LDL-C may depend on how LDL-C is lowered. Objective: To estimate the association between changes in levels of LDL-C (and other lipoproteins) and the risk of cardiovascular events related to variants in the CETP gene, both alone and in combination with variants in the 3-hydroxy-3-methylglutaryl-CoA reductase (HMGCR) gene. Design, Setting, and Participants: Mendelian randomization analyses evaluating the association between CETP and HMGCR scores, changes in lipid and lipoprotein levels, and the risk of cardiovascular events involving 102837 participants from 14 cohort or case-control studies conducted in North America or the United Kingdom between 1948 and 2012. The associations with cardiovascular events were externally validated in 189539 participants from 48 studies conducted between 2011 and 2015. Exposures: Differences in mean high-density lipoprotein cholesterol (HDL-C), LDL-C, and apolipoprotein B (apoB) levels in participants with CETP scores at or above vs below the median. Main Outcomes and Measures: Odds ratio (OR) for major cardiovascular events. Results: The primary analysis included 102837 participants (mean age, 59.9 years; 58% women) who experienced 13821 major cardiovascular events. The validation analyses included 189539 participants (mean age, 58.5 years; 39% women) with 62240 cases of coronary heart disease (CHD). Considered alone, the CETP score was associated with higher levels of HDL-C, lower LDL-C, concordantly lower apoB, and a corresponding lower risk of major vascular events (OR, 0.946 [95% CI, 0.921-0.972]) that was similar in magnitude to the association between the HMGCR score and risk of major cardiovascular events per unit change in levels of LDL-C (and apoB). When combined with the HMGCR score, the CETP score was associated with the same reduction in LDL-C levels but an attenuated reduction in apoB levels and a corresponding attenuated nonsignificant risk of major cardiovascular events (OR, 0.985 [95% CI, 0.955-1.015]). In external validation analyses, a genetic score consisting of variants with naturally occurring discordance between levels of LDL-C and apoB was associated with a similar risk of CHD per unit change in apoB level (OR, 0.782 [95% CI, 0.720-0.845] vs 0.793 [95% CI, 0.774-0.812]; P = .79 for difference), but a significantly attenuated risk of CHD per unit change in LDL-C level (OR, 0.916 [95% CI, 0.890-0.943] vs 0.831 [95% CI, 0.816-0.847]; P < .001) compared with a genetic score associated with concordant changes in levels of LDL-C and apoB. Conclusions and Relevance: Combined exposure to variants in the genes that encode the targets of CETP inhibitors and statins was associated with discordant reductions in LDL-C and apoB levels and a corresponding risk of cardiovascular events that was proportional to the attenuated reduction in apoB but significantly less than expected per unit change in LDL-C. The clinical benefit of lowering LDL-C levels may therefore depend on the corresponding reduction in apoB-containing lipoprotein particles.",JAMA,2017 Sep 12,"['MC_UU_12013/1/Medical Research Council/United Kingdom', 'MR/L003120/1/Medical Research Council/United Kingdom', 'RG/08/014/24067/British Heart Foundation/United Kingdom']"
Genetic Studies Help Clarify the Complexities of Lipid Biology and Treatment.,"['Sniderman, Allan D', 'Peterson, Eric D']","Sniderman, Allan D","McGill University Health Centre, Royal Victoria Hospital","Peterson, Eric D",Duke Clinical Research Institute,,137,,JAMA,2017 Sep 12,
"Drug Development at the Portfolio Level Is Important for Policy, Care Decisions and Human Protections.","['Kimmelman, Jonathan', 'Carlisle, Benjamin', 'Gonen, Mithat']","Kimmelman, Jonathan",McGill University,"Gonen, Mithat",Memorial Sloan-Kettering Cancer Center,,98,,JAMA,2017 Sep 19,['P30 CA008748/CA/NCI NIH HHS/United States']
Nonvoluntary Psychiatric Treatment Is Distinct From Involuntary Psychiatric Treatment.,"['Sisti, Dominic A']","Sisti, Dominic A",University of Pennsylvania,"Sisti, Dominic A",University of Pennsylvania,,7,,JAMA,2017 Sep 19,
Reframing the Opioid Epidemic as a National Emergency.,"['Gostin, Lawrence O', 'Hodge, James G Jr', 'Noe, Sarah A']","Gostin, Lawrence O",Georgetown University,"Noe, Sarah A","University of Pennsylvania, Law School",,1,,JAMA,2017 Oct 24,
New Hope for a Gonorrhea Vaccine.,"['Abbasi, Jennifer']","Abbasi, Jennifer",Journal of American Medical Association,"Abbasi, Jennifer",Journal of American Medical Association,,4,,JAMA,2017 Sep 12,
Effect of Oral Prednisolone on Symptom Duration and Severity in Nonasthmatic Adults With Acute Lower Respiratory Tract Infection: A Randomized Clinical Trial.,"['Hay, Alastair D', 'Little, Paul', 'Harnden, Anthony', 'Thompson, Matthew', 'Wang, Kay', 'Kendrick, Denise', 'Orton, Elizabeth', 'Brookes, Sara T', 'Young, Grace J', 'May, Margaret', 'Hollinghurst, Sandra', 'Carroll, Fran E', 'Downing, Harriet', 'Timmins, David', 'Lafond, Natasher', 'El-Gohary, Magdy', 'Moore, Michael']","Hay, Alastair D",University of Leeds,"Moore, Michael",Memorial Sloan-Kettering Cancer Center,,88,"Importance: Acute lower respiratory tract infection is common and often treated inappropriately in primary care with antibiotics. Corticosteroids are increasingly used but without sufficient evidence. Objective: To assess the effects of oral corticosteroids for acute lower respiratory tract infection in adults without asthma. Design, Setting, and Participants: Multicenter, placebo-controlled, randomized trial (July 2013 to final follow-up October 2014) conducted in 54 family practices in England among 401 adults with acute cough and at least 1 lower respiratory tract symptom not requiring immediate antibiotic treatment and with no history of chronic pulmonary disease or use of asthma medication in the past 5 years. Interventions: Two 20-mg prednisolone tablets (n = 199) or matched placebo (n = 202) once daily for 5 days. Main Outcomes and Measures: The primary outcomes were duration of moderately bad or worse cough (0 to 28 days; minimal clinically important difference, 3.79 days) and mean severity of symptoms on days 2 to 4 (scored from 0 [not affected] to 6 [as bad as it could be]; minimal clinically important difference, 1.66 units). Secondary outcomes were duration and severity of acute lower respiratory tract infection symptoms, duration of abnormal peak flow, antibiotic use, and adverse events. Results: Among 401 randomized patients, 2 withdrew immediately after randomization, and 1 duplicate patient was identified. Among the 398 patients with baseline data (mean age, 47 [SD, 16.0] years; 63% women; 17% smokers; 77% phlegm; 70% shortness of breath; 47% wheezing; 46% chest pain; 42% abnormal peak flow), 334 (84%) provided cough duration and 369 (93%) symptom severity data. Median cough duration was 5 days (interquartile range [IQR], 3-8 days) in the prednisolone group and 5 days (IQR, 3-10 days) in the placebo group (adjusted hazard ratio, 1.11; 95% CI, 0.89-1.39; P = .36 at an alpha = .05). Mean symptom severity was 1.99 points in the prednisolone group and 2.16 points in the placebo group (adjusted difference, -0.20; 95% CI, -0.40 to 0.00; P = .05 at an alpha = .001). No significant treatment effects were observed for duration or severity of other acute lower respiratory tract infection symptoms, duration of abnormal peak flow, antibiotic use, or nonserious adverse events. There were no serious adverse events. Conclusions and Relevance: Oral corticosteroids should not be used for acute lower respiratory tract infection symptoms in adults without asthma because they do not reduce symptom duration or severity. Trial Registration: ISRCTN.com Identifier: ISRCTN57309858.",JAMA,2017 Aug 22,"['CDF-2009-02-10/Department of Health/United Kingdom', 'NIHR-IPF-2013-07-08/Department of Health/United Kingdom', 'RP-PG-0608-10018/Department of Health/United Kingdom']"
Professional Jobs Linked With ALS and Parkinson Disease Deaths.,,,,,,,,,JAMA,2017 Aug 22,
Racial Disparities Remain in Breastfeeding Rates.,,,,,,,,,JAMA,2017 Aug 22,
Underprivilege as Privilege.,"['Zhou, Stephanie Y']","Zhou, Stephanie Y",University of Toronto Faculty of Medicine,"Zhou, Stephanie Y",University of Toronto Faculty of Medicine,,1,,JAMA,2017 Aug 22,
Groin Hernia Repair by Open Surgery.,"['Hewitt, D Brock', 'Chojnacki, Karen']","Hewitt, D Brock",Northwestern University Feinberg School of Medicine,"Chojnacki, Karen",Thomas Jefferson University,,14,,JAMA,2017 Aug 22,
Effect of Ganciclovir on IL-6 Levels Among Cytomegalovirus-Seropositive Adults With Critical Illness: A Randomized Clinical Trial.,"['Limaye, Ajit P', 'Stapleton, Renee D', 'Peng, Lili', 'Gunn, Scott R', 'Kimball, Louise E', 'Hyzy, Robert', 'Exline, Matthew C', 'Files, D Clark', 'Morris, Peter E', 'Frankel, Stephen K', 'Mikkelsen, Mark E', 'Hite, Duncan', 'Enfield, Kyle B', 'Steingrub, Jay', ""O'Brien, James"", 'Parsons, Polly E', 'Cuschieri, Joseph', 'Wunderink, Richard G', 'Hotchkin, David L', 'Chen, Ying Q', 'Rubenfeld, Gordon D', 'Boeckh, Michael']","Limaye, Ajit P",University of Washington School of Medicine,"Boeckh, Michael","University of Washington, Seattle",,77,"Importance: The role of cytomegalovirus (CMV) reactivation in mediating adverse clinical outcomes in nonimmunosuppressed adults with critical illness is unknown. Objective: To determine whether ganciclovir prophylaxis reduces plasma interleukin 6 (IL-6) levels in CMV-seropositive adults who are critically ill. Design, Setting, and Participants: Double-blind, placebo-controlled, randomized clinical trial (conducted March 10, 2011-April 29, 2016) with a follow-up of 180 days (November 10, 2016) that included 160 CMV-seropositive adults with either sepsis or trauma and respiratory failure at 14 university intensive care units (ICUs) across the United States. Interventions: Patients were randomized (1:1) to receive either intravenous ganciclovir (5 mg/kg twice daily for 5 days), followed by either intravenous ganciclovir or oral valganciclovir once daily until hospital discharge (n = 84) or to receive matching placebo (n = 76). Main Outcomes and Measures: The primary outcome was change in IL-6 level from day 1 to 14. Secondary outcomes were incidence of CMV reactivation in plasma, mechanical ventilation days, incidence of secondary bacteremia or fungemia, ICU length of stay, mortality, and ventilator-free days (VFDs) at 28 days. Results: Among 160 randomized patients (mean age, 57 years; women, 43%), 156 patients received 1or more dose(s) of study medication, and 132 patients (85%) completed the study. The mean change in plasma IL-6 levels between groups was -0.79 log10 units (-2.06 to 0.48) in the ganciclovir group and -0.79 log10 units (-2.14 to 0.56) in the placebo group (point estimate of difference, 0 [95% CI, -0.3 to 0.3]; P > .99). Among secondary outcomes, CMV reactivation in plasma was significantly lower in the ganciclovir group (12% [10 of 84 patients] vs 39% [28 of 72 patients]); absolute risk difference, -27 (95% CI, -40 to -14), P < .001. The ganciclovir group had more median VFDs in both the intention-to-treat (ITT) group and in the prespecified sepsis subgroup (ITT group: 23 days in ganciclovir group vs 20 days in the placebo group, P = .05; sepsis subgroup, 23 days in the ganciclovir group vs 20 days in the placebo group, P = .03). There were no significant differences between the ganciclovir and placebo groups in duration of mechanical ventilation (5 days for the ganciclovir group vs 6 days for the placebo group, P = .16), incidence of secondary bacteremia or fungemia (15% for the ganciclovir group vs 15% for the placebo group, P = .67), ICU length of stay (8 days for the ganciclovir group vs 8 days for the placebo group, P = .76), or mortality (12% for the ganciclovir group vs 15% for the placebo group, P = .54). Conclusions and Relevance: Among CMV-seropositive adults with critical illness due to sepsis or trauma, ganciclovir did not reduce IL-6 levels and the current study does not support routine clinical use of ganciclovir as a prophylactic agent in patients with sepsis. Additional research is necessary to determine the clinical efficacy and safety of CMV suppression in this setting. Trial Registration: clinicaltrials.gov Identifier: NCT01335932.",JAMA,2017 Aug 22,['U01 HL102547/HL/NHLBI NIH HHS/United States']
Effect of Natriuretic Peptide-Guided Therapy on Hospitalization or Cardiovascular Mortality in High-Risk Patients With Heart Failure and Reduced Ejection Fraction: A Randomized Clinical Trial.,"['Felker, G Michael', 'Anstrom, Kevin J', 'Adams, Kirkwood F', 'Ezekowitz, Justin A', 'Fiuzat, Mona', 'Houston-Miller, Nancy', 'Januzzi, James L Jr', 'Mark, Daniel B', 'Pina, Ileana L', 'Passmore, Gayle', 'Whellan, David J', 'Yang, Hongqiu', 'Cooper, Lawton S', 'Leifer, Eric S', 'Desvigne-Nickens, Patrice', ""O'Connor, Christopher M""]","Felker, G Michael",Duke Clinical Research Institute,"O'Connor, Christopher M",Inova Heart and Vascular Institute,,113,"Importance: The natriuretic peptides are biochemical markers of heart failure (HF) severity and predictors of adverse outcomes. Smaller studies have evaluated adjusting HF therapy based on natriuretic peptide levels (""guided therapy"") with inconsistent results. Objective: To determine whether an amino-terminal pro-B-type natriuretic peptide (NT-proBNP)-guided treatment strategy improves clinical outcomes vs usual care in high-risk patients with HF and reduced ejection fraction (HFrEF). Design, Settings, and Participants: The Guiding Evidence Based Therapy Using Biomarker Intensified Treatment in Heart Failure (GUIDE-IT) study was a randomized multicenter clinical trial conducted between January 16, 2013, and September 20, 2016, at 45 clinical sites in the United States and Canada. This study planned to randomize 1100 patients with HFrEF (ejection fraction </=40%), elevated natriuretic peptide levels within the prior 30 days, and a history of a prior HF event (HF hospitalization or equivalent) to either an NT-proBNP-guided strategy or usual care. Interventions: Patients were randomized to either an NT-proBNP-guided strategy or usual care. Patients randomized to the guided strategy (n = 446) had HF therapy titrated with the goal of achieving a target NT-proBNP of less than 1000 pg/mL. Patients randomized to usual care (n = 448) had HF care in accordance with published guidelines, with emphasis on titration of proven neurohormonal therapies for HF. Serial measurement of NT-proBNP testing was discouraged in the usual care group. Main Outcomes and Measures: The primary end point was the composite of time-to-first HF hospitalization or cardiovascular mortality. Prespecified secondary end points included all-cause mortality, total hospitalizations for HF, days alive and not hospitalized for cardiovascular reasons, the individual components on the primary end point, and adverse events. Results: The data and safety monitoring board recommended stopping the study for futility when 894 (median age, 63 years; 286 [32%] women) of the planned 1100 patients had been enrolled with follow-up for a median of 15 months. The primary end point occurred in 164 patients (37%) in the biomarker-guided group and 164 patients (37%) in the usual care group (adjusted hazard ratio [HR], 0.98; 95% CI, 0.79-1.22; P = .88). Cardiovascular mortality was 12% (n = 53) in the biomarker-guided group and 13% (n = 57) in the usual care group (HR, 0.94; 95% CI; 0.65-1.37; P = .75). None of the secondary end points nor the decreases in the NT-proBNP levels achieved differed significantly between groups. Conclusions and Relevance: In high-risk patients with HFrEF, a strategy of NT-proBNP-guided therapy was not more effective than a usual care strategy in improving outcomes. Trial Registration: clinicaltrials.gov Identifier: NCT01685840.",JAMA,2017 Aug 22,"['R01 HL105448/HL/NHLBI NIH HHS/United States', 'R01 HL105451/HL/NHLBI NIH HHS/United States', 'R01 HL105457/HL/NHLBI NIH HHS/United States']"
Recombinant Influenza Vaccine More Effective in Older Adults.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Aug 22,
Stereotactic Radiotherapy Is Superior for Benign Brain Tumors.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Aug 22,
Exercise Therapy Offers Modest Benefits for Chronic Fatigue.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Aug 22,
Home Monitoring Fails to Improve Glycemic Control.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Aug 22,
Olaparib Increased Survival in Metastatic Breast Cancer.,"['Slomski, Anita']","Slomski, Anita",Columbia University School of Nursing,"Slomski, Anita",Columbia University School of Nursing,,3,,JAMA,2017 Aug 22,
Water Exchange to Facilitate Unsedated Colonoscopy-Reply.,"['Leung, Felix W']","Leung, Felix W",VA Medical Center,"Leung, Felix W",VA Medical Center,,32,,JAMA,2017 Aug 22,
Bias Among Peer Reviewers.,"['Bauchner, Howard', 'Fontanarosa, Phil']","Bauchner, Howard",Journal of American Medical Association,"Fontanarosa, Phil",Journal of American Medical Association,,25,,JAMA,2017 Aug 22,
Dexamethasone Without Antibiotics for Sore Throat-Reply.,"['Hayward, Gail Nicola', 'Moore, Michael V', 'Heneghan, Carl']","Hayward, Gail Nicola",University of Oxford,"Heneghan, Carl",University of Oxford,,39,,JAMA,2017 Aug 22,
Water Exchange to Facilitate Unsedated Colonoscopy.,"['Tang, Zhouwen', 'Agrawal, Deepak']","Tang, Zhouwen",Baylor College of Medicine,"Agrawal, Deepak",UT Southwestern Medical School,,11,,JAMA,2017 Aug 22,
Bias Among Peer Reviewers.,"['Adler, Adam C', 'Stayer, Stephen A']","Adler, Adam C",Baylor College of Medicine,"Stayer, Stephen A",Texas Children's Hospital Houston,,22,,JAMA,2017 Aug 22,
Dexamethasone Without Antibiotics for Sore Throat.,"['Francis, David O', 'Merati, Albert L']","Francis, David O",University of Wisconsin Madison,"Merati, Albert L",University of Washington School of Medicine,,23,,JAMA,2017 Aug 22,
Dexamethasone Without Antibiotics for Sore Throat.,"['Sardovski, Svetlozar']","Sardovski, Svetlozar",Tokuda Hospital,"Sardovski, Svetlozar",Tokuda Hospital,,0,,JAMA,2017 Aug 22,
Updated Cost-effectiveness Analysis of PCSK9 Inhibitors Based on the Results of the FOURIER Trial.,"['Kazi, Dhruv S', 'Penko, Joanne', 'Coxson, Pamela G', 'Moran, Andrew E', 'Ollendorf, Daniel A', 'Tice, Jeffrey A', 'Bibbins-Domingo, Kirsten']","Kazi, Dhruv S","University of California, San Francisco","Bibbins-Domingo, Kirsten","University of California, San Francisco",,47,,JAMA,2017 Aug 22,
Medication-Assisted Treatment and Opioid Use Before and After Overdose in Pennsylvania Medicaid.,"['Frazier, Winfred', 'Cochran, Gerald', 'Lo-Ciganic, Wei-Hsuan', 'Gellad, Walid F', 'Gordon, Adam J', 'Chang, Chung-Chou H', 'Donohue, Julie M']","Frazier, Winfred",University of Pittsburgh Medical Center,"Donohue, Julie M",University of Pittsburgh Graduate School of Public Health,,25,,JAMA,2017 Aug 22,['U01 CE002496/CE/NCIPC CDC HHS/United States']
Vaccine Treatment Again.,,,,,,,,,JAMA,2017 Aug 22,
Why It's So Hard for Insurers to Compete Over Technology.,"['Frakt, Austin B', 'Bagley, Nicholas']","Frakt, Austin B",VA Medical Center,"Bagley, Nicholas","University of Michigan, Ann Arbor",,9,,JAMA,2017 Aug 22,
Open Access Data Tool for Cancer Research.,"['Lyon, Jeff']","Lyon, Jeff",Walter Reed Army Institute of Research,"Lyon, Jeff",Walter Reed Army Institute of Research,,30,,JAMA,2017 Aug 22,
Vaccines Protect Fetus From Zika.,"['Lyon, Jeff']","Lyon, Jeff",Walter Reed Army Institute of Research,"Lyon, Jeff",Walter Reed Army Institute of Research,,30,,JAMA,2017 Aug 22,
Even the Eye Has a Microbiome.,"['Lyon, Jeff']","Lyon, Jeff",Walter Reed Army Institute of Research,"Lyon, Jeff",Walter Reed Army Institute of Research,,30,,JAMA,2017 Aug 22,
Treatment of Low Back Pain.,"['Wenger, Hannah C', 'Cifu, Adam S']","Wenger, Hannah C",University of Chicago,"Cifu, Adam S",University of Chicago,,12,,JAMA,2017 Aug 22,
Endogenous Fungal Endophthalmitis: An Increasing Problem Among Intravenous Drug Users.,"['Relhan, Nidhi', 'Schwartz, Stephen G', 'Flynn, Harry W Jr']","Relhan, Nidhi",University of Miami Leonard M. Miller School of Medicine,"Flynn, Harry W Jr",Bascom Palmer Eye Institute,,69,,JAMA,2017 Aug 22,['P30 EY014801/EY/NEI NIH HHS/United States']
Biomarker-Guided vs Guideline-Directed Titration of Medical Therapy for Heart Failure.,"['Fonarow, Gregg C']","Fonarow, Gregg C",David Geffen School of Medicine at UCLA,"Fonarow, Gregg C",David Geffen School of Medicine at UCLA,,117,,JAMA,2017 Aug 22,
Time to Consider Cytomegalovirus Prevention in Critically Ill Patients?,"['Kumar, Deepali', 'Humar, Atul']","Kumar, Deepali",University Health Network University of Toronto,"Humar, Atul",University Health Network University of Toronto,,56,,JAMA,2017 Aug 22,
"PCSK9 Inhibitors and the Choice Between Innovation, Efficiency, and Affordability.","['Mark, Daniel B', 'Schulman, Kevin A']","Mark, Daniel B",Duke Clinical Research Institute,"Schulman, Kevin A",Duke University,,69,,JAMA,2017 Aug 22,
Screening for Depression.,"['Hirschtritt, Matthew E', 'Kroenke, Kurt']","Hirschtritt, Matthew E","University of California, San Francisco","Kroenke, Kurt",Indiana University School of Medicine Indianapolis,,90,,JAMA,2017 Aug 22,['R25 MH060482/MH/NIMH NIH HHS/United States']
Management of Parkinson Disease in 2017: Personalized Approaches for Patient-Specific Needs.,"['Okun, Michael S']","Okun, Michael S",University of Florida College of Medicine,"Okun, Michael S",University of Florida College of Medicine,,53,,JAMA,2017 Sep 5,
Diagnostic Errors and Diagnostic Calibration.,"['Cifu, Adam S']","Cifu, Adam S",University of Chicago,"Cifu, Adam S",University of Chicago,,12,,JAMA,2017 Sep 12,
Safely Viewing Solar Eclipses.,"['Arevalo, J Fernando', 'Kong, Jun', 'Bressler, Neil M']","Arevalo, J Fernando",The Wilmer Eye Institute at Johns Hopkins,"Bressler, Neil M",The Wilmer Eye Institute at Johns Hopkins,,75,,JAMA,2017 Sep 19,
The Nuremberg Code 70 Years Later.,"['Moreno, Jonathan D', 'Schmidt, Ulf', 'Joffe, Steve']","Moreno, Jonathan D",University of Pennsylvania,"Joffe, Steve",Perelman School of Medicine,,40,,JAMA,2017 Sep 5,
Chess Study Revives Debate Over Cognition-Enhancing Drugs.,"['Lyon, Jeff']","Lyon, Jeff",Walter Reed Army Institute of Research,"Lyon, Jeff",Walter Reed Army Institute of Research,,30,,JAMA,2017 Sep 5,
Global Obesity Epidemic Worsening.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Aug 15,
Effect of Malaria Initiative.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Aug 15,
Lethal Heat Waves Expected to Increase.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Aug 15,
Celiac Disease and Nonceliac Gluten Sensitivity: A Review.,"['Leonard, Maureen M', 'Sapone, Anna', 'Catassi, Carlo', 'Fasano, Alessio']","Leonard, Maureen M",Wirral University Teaching Hospital NHS Foundation Trust,"Fasano, Alessio",Massachusetts General Hospital,,74,"Importance: The prevalence of gluten-related disorders is rising, and increasing numbers of individuals are empirically trying a gluten-free diet for a variety of signs and symptoms. This review aims to present current evidence regarding screening, diagnosis, and treatment for celiac disease and nonceliac gluten sensitivity. Observations: Celiac disease is a gluten-induced immune-mediated enteropathy characterized by a specific genetic genotype (HLA-DQ2 and HLA-DQ8 genes) and autoantibodies (antitissue transglutaminase and antiendomysial). Although the inflammatory process specifically targets the intestinal mucosa, patients may present with gastrointestinal signs or symptoms, extraintestinal signs or symptoms, or both, suggesting that celiac disease is a systemic disease. Nonceliac gluten sensitivity is diagnosed in individuals who do not have celiac disease or wheat allergy but who have intestinal symptoms, extraintestinal symptoms, or both, related to ingestion of gluten-containing grains, with symptomatic improvement on their withdrawal. The clinical variability and the lack of validated biomarkers for nonceliac gluten sensitivity make establishing the prevalence, reaching a diagnosis, and further study of this condition difficult. Nevertheless, it is possible to differentiate specific gluten-related disorders from other conditions, based on currently available investigations and algorithms. Clinicians cannot distinguish between celiac disease and nonceliac gluten sensitivity by symptoms, as they are similar in both. Therefore, screening for celiac disease must occur before a gluten-free diet is implemented, since once a patient initiates a gluten-free diet, testing for celiac disease is no longer accurate. Conclusions and Relevance: Celiac disease and nonceliac gluten sensitivity are common. Although both conditions are treated with a gluten-free diet, distinguishing between celiac disease and nonceliac gluten sensitivity is important for long-term therapy. Patients with celiac disease should be followed up closely for dietary adherence, nutritional deficiencies, and the development of possible comorbidities.",JAMA,2017 Aug 15,
Trials and Tribulations.,"['Brown, Jeffrey L']","Brown, Jeffrey L",Civil Engineering,"Brown, Jeffrey L",Civil Engineering,,1,,JAMA,2017 Aug 15,
Climate Change: What Would Lincoln Do?,"['Kaelin, William G Jr']","Kaelin, William G Jr",,"Kaelin, William G Jr",,,,,JAMA,2017 Aug 15,
Eye Emergencies.,"['Muth, Christopher C']","Muth, Christopher C",Journal of American Medical Association,"Muth, Christopher C",Journal of American Medical Association,,2,,JAMA,2017 Aug 15,
